A1 Final Score, 0.97, A2 Final Score, 0.893, A3 Final Score, 0.9143, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7333, Exam 2, 0.8222, Extra Credit, 0.125, Quiz 1, 0.769230769231, Quiz 10, 1.0, Quiz 2, 0.0, Quiz 3, 0.0, Quiz 4, 1.0, Quiz 5, 0.7, Quiz 6, 0.65, Quiz 7, 0.65, Quiz 8, 1.0, Quiz 9, 1.0, 
A1 Final Score, 0.9535, A2 Final Score, 0.654, A3 Final Score, 0.654, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7556, Exam 2, 0.8667, Extra Credit, 0.0, Quiz 1, 0.846153846154, Quiz 10, 1.0, Quiz 2, 0.8, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.6, Quiz 6, 0.8, Quiz 7, 0.8, Quiz 8, 0.75, Quiz 9, 1.0, 
A1 Final Score, 0.4043, A2 Final Score, 0.488, A3 Final Score, 0.6004, Attendance Quiz 1, 0.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.6222, Exam 2, 0.6, Extra Credit, 0.0, Quiz 1, 0.923076923077, Quiz 10, 1.0, Quiz 2, 0.0, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.75, Quiz 6, 0.0, Quiz 7, 0.0, Quiz 8, 0.75, Quiz 9, 1.0, 
A1 Final Score, 0.9375, A2 Final Score, 0.827, A3 Final Score, 0.7955, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.8, Exam 2, 0.8, Extra Credit, 0.625, Quiz 1, 0.615384615385, Quiz 10, 1.0, Quiz 2, 0.466666666667, Quiz 3, 0.533333333333, Quiz 4, 1.0, Quiz 5, 0.8, Quiz 6, 0.65, Quiz 7, 0.65, Quiz 8, 0.55, Quiz 9, 1.0, 
A1 Final Score, 0.8954, A2 Final Score, 0.8827, A3 Final Score, 0.3098, Attendance Quiz 1, 1.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 0.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 0.0, Attendance Quiz 9, 0.0, Exam 1, 0.675, Exam 2, 0.7111, Extra Credit, 0.375, Quiz 1, 0.615384615385, Quiz 10, 1.0, Quiz 2, 0.466666666667, Quiz 3, 0.4, Quiz 4, 1.0, Quiz 5, 0.0, Quiz 6, 0.0, Quiz 7, 0.0, Quiz 8, 0.65, Quiz 9, 0.0, 
A1 Final Score, 0.4925, A2 Final Score, 0.8786, A3 Final Score, 0.594, Attendance Quiz 1, 1.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 0.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7778, Exam 2, 0.9111, Extra Credit, 0.0, Quiz 1, 0.692307692308, Quiz 10, 1.0, Quiz 2, 0.0, Quiz 3, 0.866666666667, Quiz 4, 1.0, Quiz 5, 0.8, Quiz 6, 0.0, Quiz 7, 0.0, Quiz 8, 0.0, Quiz 9, 1.0, 
A1 Final Score, 0.9404, A2 Final Score, 0.7772, A3 Final Score, 0.7844, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 0.0, Attendance Quiz 7, 0.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7111, Exam 2, 0.8222, Extra Credit, 0.375, Quiz 1, 0.692307692308, Quiz 10, 1.0, Quiz 2, 0.6, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.0, Quiz 6, 0.0, Quiz 7, 0.0, Quiz 8, 0.65, Quiz 9, 1.0, 
A1 Final Score, 0.8875, A2 Final Score, 0.4526, A3 Final Score, 0.4, Attendance Quiz 1, 0.0, Attendance Quiz 10, 0.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 0.0, Attendance Quiz 5, 0.0, Attendance Quiz 6, 0.0, Attendance Quiz 7, 0.0, Attendance Quiz 8, 0.0, Attendance Quiz 9, 0.0, Exam 1, 0.525, Exam 2, 0.0, Extra Credit, 0.125, Quiz 1, 0.0, Quiz 10, 0.0, Quiz 2, 0.0, Quiz 3, 0.0, Quiz 4, 0.0, Quiz 5, 0.0, Quiz 6, 0.0, Quiz 7, 0.0, Quiz 8, 0.0, Quiz 9, 0.0, 
A1 Final Score, 0.9, A2 Final Score, 0.836, A3 Final Score, 0.877, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 1.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7333, Exam 2, 0.9556, Extra Credit, 0.125, Quiz 1, 0.692307692308, Quiz 10, 1.0, Quiz 2, 0.4, Quiz 3, 0.866666666667, Quiz 4, 1.0, Quiz 5, 0.7, Quiz 6, 0.8, Quiz 7, 0.8, Quiz 8, 1.0, Quiz 9, 1.0, 
A1 Final Score, 0.795, A2 Final Score, 0.917, A3 Final Score, 0.7216, Attendance Quiz 1, 1.0, Attendance Quiz 10, 1.0, Attendance Quiz 2, 1.0, Attendance Quiz 3, 0.0, Attendance Quiz 4, 1.0, Attendance Quiz 5, 1.0, Attendance Quiz 6, 1.0, Attendance Quiz 7, 1.0, Attendance Quiz 8, 1.0, Attendance Quiz 9, 1.0, Exam 1, 0.7111, Exam 2, 0.7778, Extra Credit, 0.0, Quiz 1, 0.307692307692, Quiz 10, 1.0, Quiz 2, 0.666666666667, Quiz 3, 0.6, Quiz 4, 1.0, Quiz 5, 0.85, Quiz 6, 0.8, Quiz 7, 0.8, Quiz 8, 0.7, Quiz 9, 0.0, 
